CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,DistrictID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
78,110053040202600078,202600078,2026-03-20 08:00:00,9161,3040,1005,1,2,102,1004,2,4004,2026-03-20 04:00:00,2026-03-20 07:00:00,2026-03-20 08:00:00,13.067686,77.624307,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
79,110013001202500079,202500079,2025-06-22 21:00:00,9171,3001,1001,1,1,101,1001,3,4006,2025-06-21 06:00:00,2025-06-21 09:00:00,2025-06-22 21:00:00,13.07992,77.448808,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
80,110053038202600080,202600080,2026-03-08 16:00:00,9021,3038,1005,1,1,103,1005,1,4011,2026-03-08 10:00:00,2026-03-08 15:00:00,2026-03-08 16:00:00,12.991305,77.501798,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
81,110023011202600081,202600081,2026-02-02 08:00:00,9120,3011,1002,1,2,104,1007,2,4011,2026-01-31 08:00:00,2026-01-31 09:00:00,2026-02-02 08:00:00,12.901444,77.479985,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
82,110033021202500082,202500082,2025-02-06 01:00:00,9064,3021,1003,1,1,103,1005,1,4011,2025-02-04 23:00:00,2025-02-05 05:00:00,2025-02-06 01:00:00,12.987441,77.73583,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
83,110023016202500083,202500083,2025-09-25 05:00:00,9174,3016,1002,1,1,101,1002,1,4007,2025-09-23 11:00:00,2025-09-23 15:00:00,2025-09-25 05:00:00,12.967776,77.726243,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
84,110033019202500084,202500084,2025-08-25 23:00:00,9276,3019,1003,1,2,101,1001,2,4007,2025-08-25 18:00:00,2025-08-26 00:00:00,2025-08-25 23:00:00,12.86985,77.656331,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
85,110033017202500085,202500085,2025-07-11 20:00:00,9317,3017,1003,1,2,103,1005,1,4003,2025-07-10 07:00:00,2025-07-10 19:00:00,2025-07-11 20:00:00,12.848895,77.574578,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
86,110043027202500086,202500086,2025-10-08 14:00:00,9367,3027,1004,1,1,104,1007,2,4013,2025-10-07 14:00:00,2025-10-07 21:00:00,2025-10-08 14:00:00,13.034287,77.638905,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
87,110043029202500087,202500087,2025-09-07 01:00:00,9235,3029,1004,1,2,103,1005,2,4005,2025-09-06 06:00:00,2025-09-06 08:00:00,2025-09-07 01:00:00,12.918823,77.596551,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
88,110043026202600088,202600088,2026-02-06 15:00:00,9228,3026,1004,1,2,102,1003,2,4007,2026-02-05 11:00:00,2026-02-05 16:00:00,2026-02-06 15:00:00,13.00971,77.462128,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
89,110013005202500089,202500089,2025-01-17 15:00:00,9367,3005,1001,1,2,101,1002,3,4003,2025-01-15 16:00:00,2025-01-15 22:00:00,2025-01-17 15:00:00,13.06933,77.623566,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
90,110043031202500090,202500090,2025-04-05 01:00:00,9065,3031,1004,1,1,101,1001,3,4003,2025-04-04 09:00:00,2025-04-04 11:00:00,2025-04-05 01:00:00,12.883891,77.727797,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
91,110033017202500091,202500091,2025-08-24 08:00:00,9205,3017,1003,1,2,103,1005,3,4014,2025-08-23 22:00:00,2025-08-24 07:00:00,2025-08-24 08:00:00,12.877132,77.70279,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
92,110053040202500092,202500092,2025-02-27 13:00:00,9178,3040,1005,1,2,101,1001,1,4002,2025-02-25 19:00:00,2025-02-26 06:00:00,2025-02-27 13:00:00,13.119041,77.513829,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
93,110023014202500093,202500093,2025-01-17 19:00:00,9251,3014,1002,1,2,103,1006,1,4007,2025-01-16 18:00:00,2025-01-16 19:00:00,2025-01-17 19:00:00,12.87939,77.598313,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
94,110033020202500094,202500094,2025-08-07 02:00:00,9321,3020,1003,1,1,104,1007,3,4012,2025-08-06 05:00:00,2025-08-06 07:00:00,2025-08-07 02:00:00,13.055442,77.711775,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
95,110043025202500095,202500095,2025-10-30 23:00:00,9396,3025,1004,1,2,104,1007,3,4011,2025-10-30 11:00:00,2025-10-30 20:00:00,2025-10-30 23:00:00,12.897287,77.56965,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
96,110033021202500096,202500096,2025-02-10 22:00:00,9217,3021,1003,1,1,103,1006,3,4012,2025-02-09 07:00:00,2025-02-09 09:00:00,2025-02-10 22:00:00,13.066572,77.52696,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
97,110053035202500097,202500097,2025-07-15 03:00:00,9197,3035,1005,1,2,102,1003,3,4005,2025-07-14 00:00:00,2025-07-14 04:00:00,2025-07-15 03:00:00,12.935703,77.503639,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
98,110053038202500098,202500098,2025-08-02 23:00:00,9184,3038,1005,1,2,101,1001,1,4001,2025-08-02 18:00:00,2025-08-03 06:00:00,2025-08-02 23:00:00,12.836397,77.49083,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
99,110023013202500099,202500099,2025-04-13 17:00:00,9145,3013,1002,1,2,104,1007,3,4003,2025-04-13 11:00:00,2025-04-13 22:00:00,2025-04-13 17:00:00,12.960403,77.486885,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
100,110013006202500100,202500100,2025-10-04 18:00:00,9163,3006,1001,1,2,103,1005,1,4012,2025-10-04 02:00:00,2025-10-04 04:00:00,2025-10-04 18:00:00,13.100808,77.501949,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
101,110033020202500101,202500101,2025-02-12 18:00:00,9106,3020,1003,1,1,102,1003,3,4007,2025-02-11 06:00:00,2025-02-11 18:00:00,2025-02-12 18:00:00,12.966814,77.488363,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
102,110033023202500102,202500102,2025-09-04 08:00:00,9191,3023,1003,1,1,102,1004,1,4004,2025-09-02 08:00:00,2025-09-02 14:00:00,2025-09-04 08:00:00,13.07507,77.674221,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
