CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
84,IT_ACT,392,1,2
84,NDPS,20,1,3
85,IT_ACT,302,1,1
85,NDPS,66C,1,2
85,IPC,66D,1,3
86,IPC,20,1,1
86,POCSO,457,1,2
87,POCSO,66C,1,1
88,IT_ACT,66C,1,1
88,IT_ACT,302,1,2
89,NDPS,379,1,1
90,IPC,457,1,1
91,IT_ACT,66D,1,1
91,NDPS,20,1,2
91,POCSO,20,1,3
92,IT_ACT,20,1,1
92,NDPS,379,1,2
93,NDPS,457,1,1
93,POCSO,20,1,2
94,NDPS,379,1,1
94,IT_ACT,302,1,2
94,POCSO,392,1,3
95,POCSO,379,1,1
95,NDPS,66D,1,2
95,IPC,302,1,3
96,POCSO,302,1,1
97,POCSO,392,1,1
97,IT_ACT,66D,1,2
97,POCSO,392,1,3
98,NDPS,379,1,1
98,NDPS,302,1,2
98,NDPS,20,1,3
99,POCSO,20,1,1
100,POCSO,392,1,1
100,IPC,66D,1,2
100,IPC,302,1,3
101,IT_ACT,66D,1,1
101,POCSO,379,1,2
102,IT_ACT,66C,1,1
102,POCSO,66C,1,2
103,NDPS,392,1,1
104,NDPS,392,1,1
104,IPC,20,1,2
105,POCSO,379,1,1
106,IPC,66C,1,1
106,POCSO,302,1,2
107,POCSO,66D,1,1
107,NDPS,302,1,2
108,NDPS,457,1,1
109,NDPS,302,1,1
109,NDPS,66C,1,2
109,IPC,392,1,3
110,IT_ACT,20,1,1
110,IT_ACT,379,1,2
110,IT_ACT,392,1,3
111,IPC,66D,1,1
111,IT_ACT,302,1,2
111,NDPS,392,1,3
112,IT_ACT,66C,1,1
113,IT_ACT,20,1,1
114,IT_ACT,457,1,1
114,NDPS,302,1,2
115,POCSO,66C,1,1
115,IPC,20,1,2
115,POCSO,392,1,3
116,NDPS,392,1,1
116,POCSO,66D,1,2
116,IPC,20,1,3
117,NDPS,20,1,1
117,IT_ACT,20,1,2
117,POCSO,392,1,3
118,NDPS,379,1,1
118,IT_ACT,66D,1,2
119,NDPS,66C,1,1
119,IPC,379,1,2
120,IT_ACT,20,1,1
120,POCSO,66C,1,2
120,POCSO,66C,1,3
121,IPC,302,1,1
122,POCSO,66C,1,1
122,IPC,66C,1,2
122,POCSO,66C,1,3
123,POCSO,379,1,1
123,NDPS,392,1,2
123,POCSO,302,1,3
124,IPC,457,1,1
125,IT_ACT,392,1,1
126,NDPS,457,1,1
126,POCSO,20,1,2
126,POCSO,66C,1,3
127,NDPS,392,1,1
128,IT_ACT,66D,1,1
128,IPC,20,1,2
129,IPC,66C,1,1
129,POCSO,302,1,2
130,IT_ACT,66C,1,1
130,NDPS,66D,1,2
131,IPC,66D,1,1
131,NDPS,302,1,2
132,IT_ACT,66D,1,1
132,POCSO,66C,1,2
132,IPC,392,1,3
133,IPC,66D,1,1
134,IPC,66C,1,1
135,POCSO,457,1,1
135,IT_ACT,392,1,2
136,POCSO,66D,1,1
136,IT_ACT,20,1,2
137,POCSO,20,1,1
138,NDPS,66D,1,1
138,IPC,457,1,2
138,POCSO,302,1,3
139,IT_ACT,457,1,1
139,IT_ACT,457,1,2
139,NDPS,66D,1,3
140,NDPS,66C,1,1
140,IPC,302,1,2
140,IT_ACT,302,1,3
141,POCSO,20,1,1
141,NDPS,392,1,2
141,NDPS,457,1,3
142,IT_ACT,20,1,1
142,POCSO,457,1,2
142,IPC,379,1,3
143,IT_ACT,66C,1,1
143,POCSO,20,1,2
144,POCSO,66C,1,1
144,IPC,457,1,2
145,IPC,20,1,1
146,IT_ACT,66D,1,1
147,IPC,392,1,1
147,POCSO,20,1,2
148,NDPS,392,1,1
148,IPC,392,1,2
149,POCSO,20,1,1
149,IT_ACT,457,1,2
149,IPC,392,1,3
150,POCSO,302,1,1
151,POCSO,302,1,1
152,NDPS,302,1,1
153,POCSO,302,1,1
153,NDPS,20,1,2
154,IPC,66C,1,1
154,POCSO,20,1,2
154,NDPS,392,1,3
155,POCSO,20,1,1
155,POCSO,392,1,2
155,IPC,66C,1,3
156,POCSO,66C,1,1
156,IPC,379,1,2
157,NDPS,66C,1,1
157,POCSO,392,1,2
158,POCSO,379,1,1
158,NDPS,379,1,2
158,POCSO,66D,1,3
159,IT_ACT,457,1,1
160,IT_ACT,302,1,1
160,IT_ACT,302,1,2
161,IPC,302,1,1
162,IPC,379,1,1
162,POCSO,457,1,2
163,NDPS,66C,1,1
163,NDPS,457,1,2
164,NDPS,66D,1,1
165,IT_ACT,66D,1,1
165,IPC,379,1,2
165,POCSO,457,1,3
166,POCSO,20,1,1
167,IPC,392,1,1
167,IT_ACT,379,1,2
168,POCSO,66C,1,1
168,IT_ACT,20,1,2
169,IT_ACT,302,1,1
170,NDPS,457,1,1
171,IT_ACT,457,1,1
171,IT_ACT,20,1,2
172,NDPS,66C,1,1
173,POCSO,379,1,1
174,IT_ACT,66C,1,1
175,NDPS,20,1,1
175,IPC,392,1,2
175,NDPS,66C,1,3
176,POCSO,66D,1,1
177,POCSO,20,1,1
178,POCSO,20,1,1
179,IT_ACT,457,1,1
180,IPC,66D,1,1
180,NDPS,20,1,2
180,IT_ACT,66D,1,3
181,IPC,20,1,1
181,POCSO,66D,1,2
182,IT_ACT,457,1,1
183,IT_ACT,66C,1,1
183,POCSO,66C,1,2
183,IPC,457,1,3
184,NDPS,302,1,1
184,IT_ACT,379,1,2
185,NDPS,457,1,1
185,NDPS,457,1,2
186,POCSO,379,1,1
186,NDPS,66C,1,2
186,POCSO,66D,1,3
187,POCSO,392,1,1
187,IT_ACT,20,1,2
187,IPC,302,1,3
188,NDPS,302,1,1
188,IT_ACT,66D,1,2
188,IT_ACT,379,1,3
189,NDPS,20,1,1
190,IT_ACT,379,1,1
190,IPC,20,1,2
191,POCSO,457,1,1
191,NDPS,302,1,2
191,POCSO,379,1,3
192,POCSO,66C,1,1
192,IT_ACT,457,1,2
192,IT_ACT,392,1,3
193,NDPS,379,1,1
193,IPC,457,1,2
194,NDPS,392,1,1
195,NDPS,457,1,1
196,IPC,457,1,1
197,POCSO,20,1,1
197,NDPS,66D,1,2
197,NDPS,20,1,3
198,NDPS,392,1,1
198,IT_ACT,392,1,2
198,POCSO,302,1,3
199,IPC,66C,1,1
199,IT_ACT,66C,1,2
200,IPC,66D,1,1
201,IT_ACT,66C,1,1
201,NDPS,392,1,2
201,IPC,379,1,3
202,IPC,66D,1,1
202,IT_ACT,20,1,2
203,IT_ACT,457,1,1
203,NDPS,302,1,2
203,IPC,392,1,3
204,IT_ACT,66D,1,1
204,IT_ACT,20,1,2
205,IPC,20,1,1
205,IT_ACT,20,1,2
205,POCSO,457,1,3
206,IPC,66C,1,1
206,NDPS,457,1,2
207,IPC,302,1,1
208,IPC,379,1,1
208,NDPS,66C,1,2
208,POCSO,302,1,3
209,NDPS,392,1,1
210,IPC,66D,1,1
210,NDPS,392,1,2
211,IT_ACT,302,1,1
212,POCSO,457,1,1
212,IT_ACT,20,1,2
212,IPC,457,1,3
213,IPC,457,1,1
213,POCSO,392,1,2
214,IT_ACT,66C,1,1
214,IPC,66D,1,2
215,IT_ACT,457,1,1
215,POCSO,66C,1,2
216,NDPS,457,1,1
216,IPC,392,1,2
217,NDPS,66C,1,1
218,POCSO,457,1,1
219,NDPS,392,1,1
219,POCSO,20,1,2
219,IPC,66D,1,3
220,POCSO,66D,1,1
220,IT_ACT,66C,1,2
220,IT_ACT,66C,1,3
221,IT_ACT,379,1,1
221,POCSO,302,1,2
222,IPC,66C,1,1
222,POCSO,392,1,2
222,IT_ACT,66D,1,3
223,IPC,457,1,1
223,IPC,302,1,2
223,IT_ACT,457,1,3
224,NDPS,66C,1,1
224,POCSO,66D,1,2
224,NDPS,392,1,3
225,IPC,392,1,1
226,NDPS,20,1,1
227,IT_ACT,66D,1,1
228,IPC,66D,1,1
228,IT_ACT,20,1,2
228,POCSO,66D,1,3
229,IT_ACT,302,1,1
229,NDPS,66C,1,2
229,IPC,392,1,3
230,IT_ACT,392,1,1
231,IT_ACT,392,1,1
231,POCSO,66D,1,2
232,POCSO,379,1,1
232,IT_ACT,457,1,2
233,POCSO,392,1,1
233,POCSO,66C,1,2
234,IT_ACT,457,1,1
235,NDPS,66D,1,1
235,IT_ACT,66D,1,2
235,POCSO,66C,1,3
236,POCSO,379,1,1
237,POCSO,302,1,1
238,POCSO,66D,1,1
239,IT_ACT,66C,1,1
240,POCSO,66D,1,1
240,IT_ACT,392,1,2
240,IPC,66C,1,3
241,NDPS,379,1,1
241,IT_ACT,66D,1,2
241,IPC,302,1,3
242,NDPS,302,1,1
242,IT_ACT,379,1,2
242,POCSO,66C,1,3
243,IPC,457,1,1
243,POCSO,302,1,2
243,IPC,66C,1,3
244,POCSO,392,1,1
245,IT_ACT,457,1,1
245,IT_ACT,66C,1,2
245,IT_ACT,66D,1,3
246,NDPS,302,1,1
246,NDPS,302,1,2
247,POCSO,457,1,1
248,POCSO,66C,1,1
249,POCSO,66C,1,1
249,IPC,392,1,2
249,IPC,20,1,3
250,NDPS,20,1,1
250,IT_ACT,66D,1,2
251,IT_ACT,302,1,1
251,IT_ACT,20,1,2
252,IPC,457,1,1
253,NDPS,379,1,1
253,IPC,66C,1,2
253,IT_ACT,302,1,3
254,POCSO,457,1,1
254,POCSO,20,1,2
254,POCSO,457,1,3
255,IPC,20,1,1
256,IT_ACT,302,1,1
256,IT_ACT,20,1,2
257,IT_ACT,379,1,1
257,POCSO,20,1,2
257,IPC,20,1,3
258,POCSO,20,1,1
258,NDPS,20,1,2
258,NDPS,66C,1,3
259,NDPS,457,1,1
259,IT_ACT,392,1,2
260,POCSO,392,1,1
260,IT_ACT,66C,1,2
260,IT_ACT,302,1,3
261,NDPS,66D,1,1
261,IPC,66D,1,2
261,POCSO,379,1,3
262,IPC,66C,1,1
262,POCSO,302,1,2
263,POCSO,457,1,1
263,IPC,66C,1,2
264,POCSO,457,1,1
264,NDPS,457,1,2
265,IT_ACT,66D,1,1
265,IT_ACT,66C,1,2
266,IT_ACT,457,1,1
267,NDPS,302,1,1
267,POCSO,379,1,2
267,NDPS,379,1,3
268,POCSO,457,1,1
268,NDPS,392,1,2
269,POCSO,66D,1,1
269,IPC,457,1,2
270,IT_ACT,302,1,1
270,IPC,66C,1,2
270,IT_ACT,66D,1,3
271,POCSO,457,1,1
271,POCSO,20,1,2
272,IT_ACT,457,1,1
272,IPC,457,1,2
272,POCSO,457,1,3
273,POCSO,302,1,1
273,POCSO,66C,1,2
273,IT_ACT,457,1,3
274,POCSO,66C,1,1
274,NDPS,457,1,2
274,IT_ACT,66C,1,3
275,IT_ACT,66C,1,1
275,POCSO,302,1,2
275,POCSO,20,1,3
276,IT_ACT,392,1,1
276,NDPS,457,1,2
276,IPC,379,1,3
277,POCSO,20,1,1
277,IPC,66D,1,2
277,IPC,457,1,3
278,NDPS,302,1,1
278,IPC,457,1,2
278,IPC,20,1,3
279,IPC,379,1,1
280,IT_ACT,302,1,1
281,IT_ACT,379,1,1
281,POCSO,20,1,2
282,NDPS,20,1,1
282,IT_ACT,20,1,2
282,NDPS,20,1,3
283,IPC,66D,1,1
283,IPC,20,1,2
283,POCSO,457,1,3
284,POCSO,392,1,1
284,POCSO,66C,1,2
285,IT_ACT,66C,1,1
286,POCSO,392,1,1
286,NDPS,392,1,2
287,IPC,66D,1,1
287,IT_ACT,66D,1,2
288,IPC,392,1,1
289,POCSO,457,1,1
290,NDPS,379,1,1
291,IPC,66D,1,1
292,IT_ACT,392,1,1
293,IPC,302,1,1
293,IPC,20,1,2
293,POCSO,457,1,3
294,IPC,457,1,1
294,NDPS,392,1,2
294,IPC,302,1,3
295,IT_ACT,379,1,1
296,IT_ACT,66D,1,1
296,POCSO,20,1,2
297,POCSO,457,1,1
297,IPC,379,1,2
297,POCSO,457,1,3
298,POCSO,392,1,1
298,NDPS,379,1,2
299,NDPS,379,1,1
299,NDPS,302,1,2
300,IT_ACT,392,1,1
300,IPC,66C,1,2
300,NDPS,457,1,3
301,IPC,302,1,1
302,NDPS,302,1,1
302,POCSO,392,1,2
302,NDPS,379,1,3
303,IPC,302,1,1
304,IT_ACT,457,1,1
304,POCSO,379,1,2
304,IT_ACT,66D,1,3
305,NDPS,379,1,1
305,POCSO,20,1,2
305,IPC,66D,1,3
306,IT_ACT,66D,1,1
306,IPC,379,1,2
307,POCSO,66C,1,1
307,NDPS,457,1,2
308,IPC,379,1,1
308,IPC,379,1,2
308,NDPS,66D,1,3
309,POCSO,20,1,1
309,POCSO,66C,1,2
310,IPC,66D,1,1
310,POCSO,302,1,2
310,POCSO,457,1,3
311,IT_ACT,392,1,1
311,IPC,379,1,2
312,NDPS,392,1,1
313,POCSO,302,1,1
314,NDPS,66C,1,1
314,IPC,66D,1,2
314,IT_ACT,392,1,3
315,NDPS,20,1,1
316,NDPS,392,1,1
317,POCSO,302,1,1
317,POCSO,20,1,2
317,POCSO,66C,1,3
318,NDPS,66D,1,1
318,POCSO,66D,1,2
318,POCSO,20,1,3
319,NDPS,457,1,1
320,POCSO,302,1,1
320,POCSO,392,1,2
321,IT_ACT,457,1,1
321,IPC,379,1,2
322,IPC,302,1,1
323,IPC,379,1,1
324,IPC,379,1,1
325,POCSO,457,1,1
326,IT_ACT,379,1,1
326,NDPS,66C,1,2
326,NDPS,302,1,3
327,IT_ACT,20,1,1
327,IT_ACT,379,1,2
327,IT_ACT,457,1,3
328,IPC,392,1,1
329,IT_ACT,66D,1,1
329,IPC,302,1,2
330,POCSO,66D,1,1
330,NDPS,302,1,2
331,IPC,457,1,1
332,NDPS,457,1,1
333,IT_ACT,66D,1,1
333,POCSO,302,1,2
333,POCSO,66D,1,3
334,IPC,457,1,1
335,NDPS,66D,1,1
335,POCSO,302,1,2
336,IPC,66D,1,1
336,POCSO,66C,1,2
336,IPC,20,1,3
337,IT_ACT,20,1,1
337,POCSO,392,1,2
337,IT_ACT,392,1,3
338,NDPS,302,1,1
338,IT_ACT,20,1,2
339,IT_ACT,302,1,1
340,POCSO,457,1,1
340,IT_ACT,66D,1,2
341,NDPS,302,1,1
341,IT_ACT,302,1,2
342,IT_ACT,20,1,1
342,POCSO,302,1,2
343,IPC,379,1,1
343,NDPS,20,1,2
344,NDPS,457,1,1
344,NDPS,302,1,2
344,IT_ACT,20,1,3
345,IT_ACT,66D,1,1
346,IT_ACT,302,1,1
346,NDPS,66C,1,2
347,IT_ACT,66D,1,1
347,NDPS,66D,1,2
348,IT_ACT,392,1,1
348,NDPS,66C,1,2
348,POCSO,392,1,3
349,NDPS,457,1,1
349,IPC,66C,1,2
349,NDPS,457,1,3
350,NDPS,20,1,1
350,POCSO,302,1,2
350,NDPS,392,1,3
351,NDPS,457,1,1
351,IPC,66C,1,2
351,POCSO,379,1,3
352,NDPS,379,1,1
352,POCSO,302,1,2
353,IT_ACT,457,1,1
353,IT_ACT,20,1,2
353,IT_ACT,20,1,3
354,NDPS,66D,1,1
354,IPC,379,1,2
355,NDPS,457,1,1
355,IT_ACT,302,1,2
355,IT_ACT,66D,1,3
356,IPC,20,1,1
356,IPC,379,1,2
356,IT_ACT,379,1,3
357,NDPS,66D,1,1
357,POCSO,457,1,2
357,POCSO,20,1,3
358,IT_ACT,302,1,1
358,POCSO,66D,1,2
359,POCSO,457,1,1
360,NDPS,20,1,1
360,IT_ACT,457,1,2
361,IPC,457,1,1
361,NDPS,66C,1,2
361,IPC,20,1,3
362,POCSO,66C,1,1
362,POCSO,392,1,2
363,IPC,392,1,1
363,POCSO,66C,1,2
363,IT_ACT,392,1,3
364,IPC,392,1,1
364,IT_ACT,66C,1,2
364,POCSO,66C,1,3
365,IT_ACT,66C,1,1
366,IT_ACT,392,1,1
366,NDPS,302,1,2
366,NDPS,302,1,3
367,POCSO,457,1,1
368,POCSO,457,1,1
368,NDPS,392,1,2
369,IT_ACT,66D,1,1
369,IPC,457,1,2
369,NDPS,302,1,3
370,IPC,66C,1,1
370,POCSO,457,1,2
370,NDPS,66D,1,3
371,IT_ACT,392,1,1
371,IPC,302,1,2
372,IT_ACT,66D,1,1
372,NDPS,20,1,2
373,NDPS,20,1,1
373,IPC,20,1,2
373,IPC,392,1,3
374,NDPS,20,1,1
374,IT_ACT,66D,1,2
375,NDPS,457,1,1
375,IPC,379,1,2
375,NDPS,379,1,3
376,IT_ACT,66D,1,1
376,POCSO,302,1,2
377,IT_ACT,66C,1,1
377,IPC,379,1,2
377,IT_ACT,379,1,3
378,IPC,392,1,1
378,IPC,302,1,2
379,NDPS,66C,1,1
379,NDPS,66C,1,2
380,IT_ACT,66C,1,1
380,IPC,379,1,2
381,POCSO,457,1,1
382,NDPS,392,1,1
382,IT_ACT,66D,1,2
383,IT_ACT,302,1,1
383,NDPS,392,1,2
384,IT_ACT,379,1,1
384,NDPS,20,1,2
385,IPC,302,1,1
385,IPC,392,1,2
386,IT_ACT,457,1,1
386,POCSO,379,1,2
387,POCSO,66C,1,1
387,IT_ACT,379,1,2
387,POCSO,66C,1,3
388,IPC,20,1,1
388,NDPS,20,1,2
388,NDPS,379,1,3
389,IPC,457,1,1
389,POCSO,379,1,2
389,IPC,302,1,3
390,POCSO,457,1,1
390,IPC,66C,1,2
391,IT_ACT,66C,1,1
391,IT_ACT,392,1,2
392,IPC,392,1,1
392,IPC,457,1,2
392,NDPS,20,1,3
393,NDPS,379,1,1
393,IT_ACT,457,1,2
394,IT_ACT,20,1,1
394,NDPS,457,1,2
395,POCSO,20,1,1
396,NDPS,379,1,1
396,POCSO,457,1,2
397,NDPS,379,1,1
398,NDPS,66D,1,1
398,IPC,20,1,2
399,POCSO,66C,1,1
399,IT_ACT,379,1,2
399,IT_ACT,302,1,3
400,NDPS,457,1,1
400,IPC,302,1,2
401,POCSO,66D,1,1
402,IPC,66D,1,1
403,NDPS,457,1,1
403,POCSO,457,1,2
403,IT_ACT,20,1,3
404,IT_ACT,66D,1,1
404,NDPS,457,1,2
405,NDPS,66D,1,1
406,NDPS,20,1,1
407,IT_ACT,66C,1,1
408,IPC,392,1,1
409,NDPS,66D,1,1
410,IT_ACT,392,1,1
411,NDPS,66C,1,1
411,POCSO,66C,1,2
412,IPC,66D,1,1
412,IT_ACT,20,1,2
413,POCSO,66C,1,1
414,IT_ACT,66C,1,1
414,NDPS,392,1,2
415,IT_ACT,392,1,1
416,IT_ACT,66C,1,1
417,NDPS,379,1,1
417,IPC,392,1,2
417,IT_ACT,457,1,3
418,IPC,302,1,1
418,IT_ACT,379,1,2
418,IT_ACT,66C,1,3
419,IT_ACT,66C,1,1
419,POCSO,457,1,2
419,POCSO,66D,1,3
420,IT_ACT,66C,1,1
420,NDPS,457,1,2
420,IPC,392,1,3
421,NDPS,392,1,1
422,IPC,66C,1,1
422,NDPS,66C,1,2
423,NDPS,302,1,1
423,POCSO,302,1,2
424,IT_ACT,379,1,1
425,NDPS,392,1,1
425,IPC,20,1,2
426,IT_ACT,302,1,1
426,IT_ACT,379,1,2
426,IPC,392,1,3
427,POCSO,66C,1,1
427,POCSO,66C,1,2
428,NDPS,20,1,1
428,NDPS,379,1,2
428,IPC,66D,1,3
429,IPC,20,1,1
429,IPC,302,1,2
430,NDPS,302,1,1
430,POCSO,457,1,2
430,NDPS,457,1,3
431,IT_ACT,457,1,1
432,POCSO,457,1,1
432,NDPS,392,1,2
433,NDPS,66D,1,1
433,IT_ACT,302,1,2
433,POCSO,457,1,3
434,POCSO,66D,1,1
435,NDPS,66D,1,1
435,IPC,302,1,2
436,IPC,379,1,1
436,IT_ACT,66D,1,2
436,IPC,66D,1,3
437,IPC,457,1,1
437,IT_ACT,20,1,2
437,IT_ACT,66C,1,3
438,IT_ACT,379,1,1
438,IT_ACT,66C,1,2
438,IPC,457,1,3
439,IPC,457,1,1
439,IT_ACT,392,1,2
439,IT_ACT,392,1,3
440,IPC,379,1,1
440,IT_ACT,66C,1,2
441,NDPS,457,1,1
442,IT_ACT,20,1,1
443,POCSO,392,1,1
444,NDPS,457,1,1
444,POCSO,66D,1,2
444,POCSO,392,1,3
445,NDPS,392,1,1
446,POCSO,392,1,1
446,IT_ACT,66C,1,2
447,NDPS,392,1,1
447,NDPS,302,1,2
448,IT_ACT,20,1,1
449,IPC,392,1,1
449,IPC,20,1,2
450,POCSO,66D,1,1
450,POCSO,379,1,2
451,NDPS,457,1,1
451,IT_ACT,379,1,2
451,NDPS,457,1,3
452,NDPS,379,1,1
452,IT_ACT,392,1,2
452,IT_ACT,392,1,3
453,POCSO,66D,1,1
454,IPC,302,1,1
454,IT_ACT,66C,1,2
455,IT_ACT,379,1,1
456,NDPS,20,1,1
456,IPC,66C,1,2
457,IPC,379,1,1
457,NDPS,66D,1,2
457,IPC,457,1,3
458,NDPS,457,1,1
458,NDPS,66C,1,2
459,NDPS,66D,1,1
459,IPC,392,1,2
460,POCSO,457,1,1
460,IT_ACT,379,1,2
461,NDPS,392,1,1
462,POCSO,457,1,1
462,NDPS,66C,1,2
463,POCSO,302,1,1
463,IPC,302,1,2
464,NDPS,379,1,1
464,IPC,20,1,2
464,POCSO,20,1,3
465,IPC,20,1,1
465,POCSO,457,1,2
465,IPC,20,1,3
466,POCSO,66C,1,1
467,NDPS,392,1,1
467,IPC,66D,1,2
468,POCSO,392,1,1
469,IPC,66D,1,1
469,IPC,20,1,2
470,POCSO,379,1,1
470,IPC,392,1,2
470,IT_ACT,66C,1,3
471,POCSO,66D,1,1
472,IT_ACT,392,1,1
473,IPC,457,1,1
474,IPC,457,1,1
474,POCSO,457,1,2
475,NDPS,66D,1,1
476,IPC,392,1,1
477,NDPS,66C,1,1
478,POCSO,66D,1,1
478,POCSO,66D,1,2
479,NDPS,20,1,1
479,IT_ACT,302,1,2
480,IT_ACT,392,1,1
480,IPC,457,1,2
480,IPC,66D,1,3
481,NDPS,66C,1,1
481,IPC,392,1,2
481,POCSO,20,1,3
482,IT_ACT,392,1,1
483,NDPS,66D,1,1
484,POCSO,379,1,1
484,POCSO,302,1,2
485,IT_ACT,392,1,1
486,IT_ACT,457,1,1
486,POCSO,457,1,2
486,POCSO,66C,1,3
487,NDPS,392,1,1
487,POCSO,379,1,2
487,IPC,66D,1,3
488,NDPS,392,1,1
488,IPC,20,1,2
489,IT_ACT,302,1,1
490,POCSO,20,1,1
490,IT_ACT,302,1,2
490,POCSO,302,1,3
491,POCSO,302,1,1
491,POCSO,379,1,2
491,POCSO,20,1,3
492,IT_ACT,392,1,1
493,IT_ACT,379,1,1
493,IPC,66D,1,2
493,IPC,457,1,3
494,IPC,392,1,1
495,IPC,20,1,1
496,NDPS,302,1,1
496,IPC,66D,1,2
496,IT_ACT,392,1,3
497,IT_ACT,457,1,1
497,NDPS,302,1,2
498,POCSO,457,1,1
499,IPC,66C,1,1
499,IT_ACT,379,1,2
499,POCSO,66C,1,3
500,NDPS,379,1,1
501,NDPS,392,1,1
501,IPC,66D,1,2
501,IT_ACT,392,1,3
502,POCSO,379,1,1
502,IT_ACT,66D,1,2
502,POCSO,66C,1,3
503,IT_ACT,302,1,1
503,POCSO,379,1,2
504,NDPS,302,1,1
504,IT_ACT,379,1,2
505,IT_ACT,302,1,1
505,NDPS,302,1,2
505,NDPS,20,1,3
506,NDPS,66D,1,1
506,IT_ACT,392,1,2
507,IT_ACT,302,1,1
507,NDPS,66D,1,2
508,IPC,66D,1,1
508,IT_ACT,379,1,2
508,POCSO,302,1,3
