CSID,CaseMasterID,csdate,cstype,PolicePersonID
125,295,2025-03-18 00:00:00,A,9252
126,297,2025-12-21 00:00:00,A,9315
127,300,2025-03-11 00:00:00,A,9240
128,301,2025-07-10 00:00:00,C,9217
129,305,2025-07-17 00:00:00,A,9314
130,309,2025-10-10 00:00:00,C,9345
131,311,2025-12-30 00:00:00,A,9020
132,312,2025-04-29 00:00:00,A,9310
133,315,2025-11-08 00:00:00,A,9372
134,316,2025-10-20 00:00:00,A,9159
135,318,2025-12-01 00:00:00,A,9154
136,319,2025-09-19 00:00:00,A,9176
137,326,2026-01-10 00:00:00,A,9268
138,328,2026-02-26 00:00:00,C,9069
139,330,2026-04-03 00:00:00,A,9245
140,331,2026-01-03 00:00:00,A,9384
141,334,2025-05-25 00:00:00,A,9008
142,338,2025-07-17 00:00:00,A,9191
143,339,2025-11-12 00:00:00,C,9197
144,343,2025-10-17 00:00:00,A,9212
145,344,2026-03-17 00:00:00,A,9153
146,345,2025-03-06 00:00:00,A,9151
147,346,2026-04-04 00:00:00,B,9127
148,351,2025-08-28 00:00:00,A,9053
149,354,2025-08-05 00:00:00,A,9007
150,355,2026-04-28 00:00:00,C,9096
151,356,2025-10-29 00:00:00,A,9271
152,358,2026-02-21 00:00:00,B,9321
153,359,2025-06-27 00:00:00,A,9030
154,361,2026-06-05 00:00:00,A,9361
155,363,2025-09-30 00:00:00,A,9121
156,364,2026-01-29 00:00:00,B,9250
157,365,2026-03-28 00:00:00,A,9152
158,368,2025-08-17 00:00:00,A,9271
159,369,2025-04-23 00:00:00,A,9270
160,370,2026-05-03 00:00:00,A,9114
161,378,2025-11-28 00:00:00,A,9273
162,379,2026-02-06 00:00:00,A,9160
163,380,2026-02-01 00:00:00,A,9380
164,381,2025-08-11 00:00:00,A,9278
165,384,2025-10-02 00:00:00,A,9318
166,385,2026-05-09 00:00:00,C,9388
167,388,2025-07-01 00:00:00,A,9256
168,389,2025-07-08 00:00:00,A,9204
169,390,2025-06-03 00:00:00,A,9060
170,394,2025-04-05 00:00:00,A,9129
171,397,2025-08-22 00:00:00,A,9149
172,398,2025-11-13 00:00:00,B,9289
173,399,2025-10-13 00:00:00,A,9105
174,402,2025-07-28 00:00:00,C,9398
175,405,2025-10-26 00:00:00,A,9081
176,406,2025-12-02 00:00:00,A,9090
177,408,2026-02-07 00:00:00,A,9338
178,409,2025-06-08 00:00:00,A,9311
179,413,2025-02-26 00:00:00,A,9363
180,419,2025-07-23 00:00:00,A,9215
181,420,2025-10-15 00:00:00,A,9010
182,421,2025-09-12 00:00:00,A,9167
183,424,2025-10-12 00:00:00,B,9228
184,425,2025-12-13 00:00:00,A,9215
185,428,2025-08-24 00:00:00,C,9394
186,430,2025-10-12 00:00:00,A,9349
187,431,2026-04-26 00:00:00,A,9323
188,434,2025-10-04 00:00:00,B,9204
189,437,2025-03-01 00:00:00,A,9126
190,439,2026-04-27 00:00:00,A,9327
191,442,2025-09-22 00:00:00,A,9144
192,445,2025-04-18 00:00:00,B,9166
193,448,2025-05-18 00:00:00,A,9027
194,450,2025-07-12 00:00:00,A,9264
195,451,2026-01-26 00:00:00,A,9057
196,452,2026-01-02 00:00:00,A,9347
197,456,2025-05-14 00:00:00,A,9229
198,458,2025-07-06 00:00:00,A,9184
199,459,2025-02-10 00:00:00,A,9085
200,462,2026-05-17 00:00:00,A,9259
201,463,2025-06-18 00:00:00,A,9080
202,464,2025-07-16 00:00:00,A,9167
203,467,2025-07-08 00:00:00,A,9305
204,468,2025-07-08 00:00:00,A,9111
205,469,2025-03-08 00:00:00,A,9045
206,470,2026-05-31 00:00:00,A,9088
207,471,2025-04-09 00:00:00,C,9290
208,474,2025-03-28 00:00:00,A,9259
209,477,2025-08-18 00:00:00,A,9309
210,478,2025-09-23 00:00:00,A,9288
211,484,2025-05-03 00:00:00,B,9324
212,488,2025-06-08 00:00:00,A,9270
213,495,2025-09-04 00:00:00,A,9275
214,497,2025-08-17 00:00:00,B,9211
215,498,2025-04-17 00:00:00,A,9244
216,501,2025-05-25 00:00:00,A,9337
217,503,2026-02-20 00:00:00,A,9140
218,506,2025-06-19 00:00:00,A,9220
219,509,2025-06-25 00:00:00,C,9369
220,510,2025-08-09 00:00:00,A,9104
221,511,2025-07-01 00:00:00,B,9009
222,513,2025-12-01 00:00:00,C,9205
223,516,2025-09-27 00:00:00,A,9331
224,517,2025-10-05 00:00:00,A,9398
225,518,2026-02-16 00:00:00,A,9162
226,526,2026-01-31 00:00:00,A,9206
227,527,2025-12-24 00:00:00,A,9033
228,531,2026-02-18 00:00:00,B,9066
229,537,2026-02-04 00:00:00,A,9178
230,541,2025-11-12 00:00:00,A,9303
231,543,2025-08-21 00:00:00,A,9201
232,549,2026-03-12 00:00:00,A,9202
233,552,2025-06-12 00:00:00,A,9311
234,558,2025-12-08 00:00:00,B,9152
235,561,2025-07-15 00:00:00,B,9162
236,563,2025-12-06 00:00:00,A,9160
237,564,2025-11-08 00:00:00,A,9201
238,568,2026-04-24 00:00:00,A,9362
239,571,2026-01-22 00:00:00,C,9293
240,574,2025-11-02 00:00:00,A,9387
241,576,2025-09-13 00:00:00,A,9360
242,578,2025-05-08 00:00:00,A,9290
243,580,2025-11-16 00:00:00,C,9113
244,588,2025-03-08 00:00:00,A,9362
245,589,2025-10-21 00:00:00,A,9297
246,590,2026-02-24 00:00:00,B,9185
247,591,2025-12-28 00:00:00,A,9298
248,594,2025-12-26 00:00:00,A,9239
249,598,2026-01-18 00:00:00,B,9350
250,599,2025-06-01 00:00:00,A,9169
251,602,2025-05-11 00:00:00,A,9234
252,603,2025-08-27 00:00:00,A,9105
253,604,2026-03-30 00:00:00,C,9390
254,610,2026-01-22 00:00:00,B,9288
255,615,2026-02-28 00:00:00,A,9242
256,616,2025-12-14 00:00:00,A,9221
257,617,2025-08-15 00:00:00,B,9397
258,619,2026-03-16 00:00:00,B,9264
259,620,2025-04-09 00:00:00,A,9032
260,621,2025-04-10 00:00:00,A,9189
261,623,2026-05-26 00:00:00,A,9341
262,625,2025-08-29 00:00:00,A,9084
263,626,2026-02-25 00:00:00,A,9184
264,628,2025-05-07 00:00:00,A,9115
265,630,2026-05-04 00:00:00,A,9240
266,631,2025-05-02 00:00:00,A,9375
267,632,2025-10-17 00:00:00,B,9230
268,634,2025-11-18 00:00:00,C,9096
269,636,2025-07-02 00:00:00,B,9130
270,639,2026-04-19 00:00:00,C,9022
271,640,2026-02-14 00:00:00,A,9166
272,641,2025-05-16 00:00:00,A,9355
273,647,2025-07-25 00:00:00,A,9341
274,648,2025-07-02 00:00:00,C,9399
275,651,2025-07-28 00:00:00,A,9320
276,652,2025-10-21 00:00:00,B,9136
277,653,2025-11-02 00:00:00,A,9396
278,657,2026-05-23 00:00:00,A,9325
279,658,2025-11-14 00:00:00,A,9124
280,659,2025-09-12 00:00:00,A,9317
281,660,2026-03-04 00:00:00,B,9374
282,665,2025-09-17 00:00:00,B,9196
283,669,2025-10-03 00:00:00,A,9130
284,670,2025-11-27 00:00:00,A,9319
285,671,2025-10-12 00:00:00,A,9144
286,672,2025-07-23 00:00:00,A,9096
287,674,2025-08-17 00:00:00,A,9099
288,676,2025-09-06 00:00:00,A,9308
289,679,2025-07-01 00:00:00,A,9351
290,682,2025-04-02 00:00:00,A,9094
291,683,2025-12-13 00:00:00,A,9307
292,684,2026-02-09 00:00:00,A,9110
293,686,2026-01-02 00:00:00,A,9039
294,687,2025-07-17 00:00:00,A,9292
295,689,2025-09-27 00:00:00,A,9367
296,691,2026-02-02 00:00:00,B,9113
297,692,2025-09-30 00:00:00,B,9179
298,693,2026-04-16 00:00:00,A,9380
299,694,2026-06-10 00:00:00,C,9132
300,696,2025-08-12 00:00:00,A,9291
301,699,2025-12-05 00:00:00,A,9304
302,701,2025-10-12 00:00:00,A,9313
303,702,2025-07-25 00:00:00,B,9337
304,706,2025-04-16 00:00:00,A,9008
305,708,2025-04-27 00:00:00,A,9342
306,713,2025-08-14 00:00:00,A,9338
307,714,2025-10-15 00:00:00,A,9379
308,719,2025-03-23 00:00:00,B,9065
309,720,2025-08-30 00:00:00,B,9070
310,721,2025-11-14 00:00:00,B,9284
311,722,2026-02-10 00:00:00,A,9356
312,723,2025-07-19 00:00:00,A,9107
313,728,2025-07-04 00:00:00,A,9192
314,729,2025-05-26 00:00:00,A,9227
315,732,2026-04-21 00:00:00,C,9239
316,735,2025-09-22 00:00:00,B,9198
317,736,2025-07-12 00:00:00,A,9210
318,738,2025-09-07 00:00:00,A,9087
319,746,2025-08-15 00:00:00,C,9275
320,751,2025-10-17 00:00:00,B,9306
321,753,2025-11-17 00:00:00,A,9045
322,756,2025-07-08 00:00:00,A,9026
323,757,2025-11-13 00:00:00,C,9353
324,759,2025-06-12 00:00:00,A,9231
325,760,2025-02-03 00:00:00,A,9089
326,763,2026-05-19 00:00:00,A,9040
327,767,2026-01-08 00:00:00,A,9265
328,769,2025-04-02 00:00:00,A,9214
329,771,2025-10-08 00:00:00,A,9149
330,776,2025-05-16 00:00:00,A,9213
331,777,2025-09-28 00:00:00,A,9005
332,778,2025-06-15 00:00:00,B,9027
333,780,2025-04-02 00:00:00,A,9243
334,781,2026-04-13 00:00:00,A,9295
335,783,2025-05-05 00:00:00,A,9185
336,784,2025-04-14 00:00:00,A,9017
337,787,2026-04-01 00:00:00,C,9331
338,791,2025-06-17 00:00:00,A,9016
339,792,2025-06-09 00:00:00,A,9315
340,793,2025-09-23 00:00:00,A,9309
341,799,2025-08-18 00:00:00,A,9025
342,801,2025-04-21 00:00:00,A,9054
343,805,2025-04-14 00:00:00,A,9391
344,806,2025-10-02 00:00:00,A,9256
345,808,2026-01-31 00:00:00,A,9031
346,809,2026-03-01 00:00:00,A,9035
347,811,2025-05-21 00:00:00,A,9097
348,812,2026-03-05 00:00:00,A,9251
349,815,2025-08-04 00:00:00,A,9138
350,818,2025-12-19 00:00:00,B,9354
351,819,2025-11-12 00:00:00,A,9063
352,823,2025-05-26 00:00:00,B,9269
353,827,2025-08-10 00:00:00,A,9356
354,830,2025-10-18 00:00:00,A,9263
355,834,2025-07-08 00:00:00,C,9141
356,835,2026-06-09 00:00:00,A,9385
357,837,2025-09-05 00:00:00,A,9231
358,839,2025-07-05 00:00:00,A,9048
359,843,2025-02-11 00:00:00,A,9153
360,844,2025-04-28 00:00:00,B,9138
361,845,2026-03-10 00:00:00,A,9265
362,846,2025-07-30 00:00:00,A,9022
363,847,2025-09-26 00:00:00,B,9200
364,848,2025-05-10 00:00:00,A,9141
365,850,2026-03-12 00:00:00,A,9098
366,855,2025-06-20 00:00:00,A,9278
367,858,2026-04-22 00:00:00,A,9071
368,859,2025-09-23 00:00:00,A,9086
369,861,2026-02-02 00:00:00,B,9280
370,865,2026-05-06 00:00:00,B,9363
371,869,2025-08-13 00:00:00,B,9107
372,870,2026-02-09 00:00:00,A,9324
373,874,2026-03-03 00:00:00,B,9044
374,875,2026-02-24 00:00:00,A,9105
375,876,2026-01-29 00:00:00,A,9071
376,877,2026-04-27 00:00:00,A,9082
377,879,2025-09-07 00:00:00,B,9277
378,881,2025-09-26 00:00:00,B,9050
379,884,2025-05-21 00:00:00,A,9126
380,888,2026-03-20 00:00:00,A,9221
381,889,2025-12-22 00:00:00,A,9094
382,890,2026-04-15 00:00:00,A,9119
383,892,2025-07-17 00:00:00,A,9007
384,895,2025-12-29 00:00:00,A,9270
385,898,2026-04-16 00:00:00,C,9125
386,899,2025-10-21 00:00:00,A,9324
387,902,2025-08-04 00:00:00,A,9005
388,908,2025-11-11 00:00:00,B,9384
389,910,2026-03-29 00:00:00,A,9304
390,912,2025-08-26 00:00:00,A,9316
391,915,2026-03-17 00:00:00,A,9254
392,917,2025-05-21 00:00:00,A,9370
393,918,2025-07-27 00:00:00,A,9296
394,919,2026-01-12 00:00:00,A,9001
395,921,2025-08-24 00:00:00,A,9336
396,924,2025-05-19 00:00:00,A,9367
397,925,2025-10-29 00:00:00,A,9103
398,926,2025-11-22 00:00:00,C,9059
399,927,2025-10-12 00:00:00,A,9187
400,929,2026-05-24 00:00:00,A,9035
401,931,2025-09-03 00:00:00,A,9365
402,936,2025-09-02 00:00:00,A,9332
403,938,2025-03-15 00:00:00,A,9264
404,940,2026-03-24 00:00:00,A,9139
405,941,2025-09-25 00:00:00,A,9263
406,942,2025-08-04 00:00:00,A,9176
407,943,2025-12-02 00:00:00,A,9135
408,945,2025-03-15 00:00:00,A,9020
409,947,2025-12-14 00:00:00,A,9078
410,953,2026-04-10 00:00:00,C,9378
411,954,2025-03-22 00:00:00,B,9338
412,958,2026-05-02 00:00:00,C,9041
413,959,2026-06-03 00:00:00,B,9039
414,960,2025-11-02 00:00:00,B,9363
415,961,2025-04-02 00:00:00,A,9009
416,962,2025-11-15 00:00:00,A,9133
417,964,2025-03-25 00:00:00,A,9236
418,967,2026-04-26 00:00:00,A,9312
419,968,2025-03-29 00:00:00,A,9131
420,969,2025-07-28 00:00:00,A,9342
421,971,2025-04-23 00:00:00,A,9363
422,974,2025-12-20 00:00:00,A,9221
423,976,2025-03-22 00:00:00,A,9192
424,978,2025-09-22 00:00:00,A,9270
425,981,2026-02-11 00:00:00,A,9285
426,982,2026-01-25 00:00:00,A,9011
427,985,2025-09-16 00:00:00,A,9211
428,989,2025-06-23 00:00:00,A,9015
429,990,2025-09-03 00:00:00,C,9387
430,991,2026-01-30 00:00:00,A,9245
431,993,2025-05-02 00:00:00,A,9212
432,995,2025-12-19 00:00:00,A,9110
433,998,2026-01-21 00:00:00,A,9252
434,999,2026-03-09 00:00:00,A,9347
435,1000,2026-01-28 00:00:00,A,9130
436,1002,2025-07-18 00:00:00,A,9139
437,1004,2025-05-04 00:00:00,A,9395
438,1005,2025-04-07 00:00:00,A,9114
439,1006,2025-08-13 00:00:00,A,9367
440,1007,2025-02-25 00:00:00,B,9198
441,1008,2026-04-23 00:00:00,A,9197
442,1009,2026-01-23 00:00:00,A,9006
443,1012,2025-07-22 00:00:00,A,9084
444,1014,2025-04-11 00:00:00,A,9331
445,1015,2026-01-18 00:00:00,A,9265
446,1022,2025-08-17 00:00:00,A,9349
447,1023,2025-06-24 00:00:00,A,9065
448,1024,2025-06-02 00:00:00,A,9238
449,1032,2025-07-02 00:00:00,A,9186
450,1033,2025-10-07 00:00:00,A,9363
451,1035,2025-12-07 00:00:00,B,9072
452,1036,2025-08-24 00:00:00,A,9045
453,1037,2026-04-09 00:00:00,A,9267
454,1038,2025-03-28 00:00:00,A,9231
455,1040,2025-12-01 00:00:00,A,9132
456,1041,2025-03-17 00:00:00,A,9311
457,1043,2026-03-20 00:00:00,C,9148
458,1045,2026-03-10 00:00:00,A,9140
459,1046,2025-07-27 00:00:00,A,9182
460,1047,2025-09-15 00:00:00,A,9324
461,1050,2025-07-11 00:00:00,A,9100
462,1052,2025-07-02 00:00:00,A,9178
463,1053,2026-04-03 00:00:00,A,9134
464,1054,2026-03-26 00:00:00,A,9371
465,1055,2025-04-17 00:00:00,A,9106
466,1056,2025-11-18 00:00:00,B,9257
467,1063,2026-03-02 00:00:00,C,9216
468,1067,2025-12-05 00:00:00,B,9200
469,1071,2026-04-08 00:00:00,A,9041
470,1073,2025-12-18 00:00:00,B,9014
471,1074,2026-03-13 00:00:00,A,9392
472,1075,2026-06-02 00:00:00,A,9334
473,1076,2025-12-25 00:00:00,A,9179
474,1077,2025-10-13 00:00:00,A,9291
475,1081,2025-09-28 00:00:00,A,9348
476,1085,2025-07-10 00:00:00,A,9120
477,1090,2026-01-15 00:00:00,A,9041
478,1091,2025-12-09 00:00:00,B,9308
479,1092,2025-07-23 00:00:00,A,9040
480,1094,2026-03-15 00:00:00,A,9398
481,1096,2025-04-26 00:00:00,A,9123
482,1102,2025-05-01 00:00:00,A,9080
483,1103,2025-05-29 00:00:00,C,9143
484,1104,2025-05-17 00:00:00,A,9315
485,1105,2025-08-21 00:00:00,A,9233
486,1106,2026-05-16 00:00:00,A,9252
487,1110,2025-05-26 00:00:00,A,9033
488,1118,2025-08-06 00:00:00,A,9028
489,1119,2025-03-20 00:00:00,C,9279
490,1121,2025-08-09 00:00:00,A,9255
491,1122,2026-04-26 00:00:00,A,9311
492,1123,2025-06-12 00:00:00,A,9251
493,1124,2025-12-23 00:00:00,A,9369
494,1126,2025-07-01 00:00:00,C,9246
495,1127,2025-09-05 00:00:00,A,9177
496,1128,2025-11-17 00:00:00,A,9076
497,1129,2025-05-10 00:00:00,A,9281
498,1131,2026-05-20 00:00:00,A,9261
499,1132,2025-12-06 00:00:00,C,9232
500,1133,2025-11-13 00:00:00,A,9186
501,1138,2026-02-23 00:00:00,A,9082
502,1140,2026-04-11 00:00:00,A,9159
503,1143,2025-03-26 00:00:00,B,9210
504,1145,2026-03-23 00:00:00,A,9297
505,1148,2025-10-08 00:00:00,C,9273
506,1150,2026-02-21 00:00:00,A,9092
507,1151,2025-10-13 00:00:00,A,9025
508,1155,2026-02-28 00:00:00,C,9014
509,1156,2025-06-18 00:00:00,B,9236
510,1158,2026-02-10 00:00:00,A,9190
511,1159,2025-01-27 00:00:00,A,9281
512,1161,2025-05-02 00:00:00,C,9356
513,1165,2025-05-22 00:00:00,C,9146
514,1166,2026-01-13 00:00:00,B,9233
515,1169,2026-04-04 00:00:00,A,9328
516,1170,2025-11-24 00:00:00,B,9012
517,1171,2026-01-22 00:00:00,A,9248
518,1172,2025-07-08 00:00:00,A,9255
519,1176,2025-06-04 00:00:00,A,9148
520,1177,2025-04-09 00:00:00,B,9058
521,1183,2026-02-09 00:00:00,A,9343
522,1184,2025-05-16 00:00:00,A,9190
523,1185,2026-02-04 00:00:00,A,9289
524,1187,2025-11-19 00:00:00,A,9144
525,1191,2025-05-24 00:00:00,A,9244
526,1192,2025-06-12 00:00:00,A,9229
527,1197,2026-02-19 00:00:00,A,9065
528,1198,2025-06-15 00:00:00,A,9102
529,1200,2026-05-23 00:00:00,A,9014
530,1201,2026-03-27 00:00:00,A,9243
531,1203,2025-08-20 00:00:00,A,9278
532,1204,2025-03-07 00:00:00,A,9343
533,1205,2026-01-24 00:00:00,A,9355
534,1207,2025-09-15 00:00:00,A,9354
535,1208,2025-12-26 00:00:00,A,9038
536,1215,2025-05-31 00:00:00,B,9197
537,1216,2025-09-09 00:00:00,A,9205
538,1220,2026-01-09 00:00:00,A,9315
539,1224,2026-05-11 00:00:00,C,9309
540,1225,2025-12-26 00:00:00,B,9360
541,1226,2025-09-18 00:00:00,B,9389
542,1227,2025-05-10 00:00:00,A,9259
543,1230,2025-04-26 00:00:00,A,9293
544,1243,2025-05-16 00:00:00,A,9302
545,1246,2026-04-27 00:00:00,A,9045
546,1248,2025-10-25 00:00:00,C,9080
547,1250,2025-10-25 00:00:00,A,9356
548,1251,2025-07-21 00:00:00,A,9349
549,1253,2026-01-02 00:00:00,A,9373
550,1254,2025-08-11 00:00:00,A,9177
551,1256,2025-08-25 00:00:00,A,9041
552,1257,2025-10-27 00:00:00,C,9353
553,1264,2025-07-29 00:00:00,A,9309
554,1267,2025-09-08 00:00:00,B,9230
555,1268,2026-02-21 00:00:00,B,9043
556,1272,2025-12-29 00:00:00,A,9158
557,1273,2025-08-11 00:00:00,A,9154
558,1276,2026-03-07 00:00:00,A,9042
559,1277,2025-10-12 00:00:00,A,9331
560,1278,2026-04-06 00:00:00,A,9370
561,1287,2026-05-20 00:00:00,C,9031
562,1289,2026-04-27 00:00:00,A,9155
563,1292,2025-11-04 00:00:00,C,9392
564,1294,2025-09-18 00:00:00,A,9044
565,1296,2026-04-03 00:00:00,A,9254
566,1299,2025-08-29 00:00:00,A,9208
567,1301,2025-05-06 00:00:00,A,9262
568,1308,2026-02-08 00:00:00,A,9081
569,1311,2025-04-29 00:00:00,A,9158
570,1312,2026-02-25 00:00:00,B,9103
571,1316,2025-05-07 00:00:00,A,9032
572,1320,2026-03-17 00:00:00,A,9102
573,1323,2026-04-10 00:00:00,B,9206
574,1326,2026-04-07 00:00:00,A,9300
575,1328,2025-09-17 00:00:00,A,9255
576,1330,2025-08-03 00:00:00,A,9220
577,1335,2025-10-22 00:00:00,A,9338
578,1336,2025-04-27 00:00:00,A,9037
579,1337,2025-12-23 00:00:00,A,9349
580,1343,2025-04-20 00:00:00,A,9006
581,1344,2025-07-10 00:00:00,A,9321
582,1347,2025-04-12 00:00:00,B,9072
583,1349,2025-09-11 00:00:00,A,9364
584,1351,2025-05-16 00:00:00,A,9113
585,1356,2025-05-09 00:00:00,A,9340
586,1359,2025-05-04 00:00:00,A,9296
587,1361,2026-03-23 00:00:00,A,9348
588,1363,2026-01-29 00:00:00,B,9346
589,1364,2025-07-06 00:00:00,A,9109
590,1365,2026-01-26 00:00:00,A,9010
591,1367,2025-10-17 00:00:00,A,9043
592,1368,2025-09-24 00:00:00,A,9074
593,1370,2025-10-02 00:00:00,A,9033
594,1373,2025-03-11 00:00:00,A,9207
595,1376,2026-03-12 00:00:00,A,9370
596,1377,2025-06-13 00:00:00,A,9398
597,1379,2026-01-30 00:00:00,A,9354
598,1383,2026-03-05 00:00:00,A,9326
599,1387,2025-07-23 00:00:00,C,9007
600,1389,2025-10-28 00:00:00,A,9270
601,1394,2025-08-03 00:00:00,A,9144
602,1395,2025-04-28 00:00:00,A,9225
603,1396,2025-05-13 00:00:00,A,9005
604,1400,2026-02-17 00:00:00,A,9017
605,1401,2025-12-09 00:00:00,A,9113
606,1402,2025-07-14 00:00:00,A,9065
607,1403,2025-06-24 00:00:00,B,9031
608,1404,2025-09-03 00:00:00,A,9150
609,1407,2025-10-29 00:00:00,B,9295
610,1411,2025-06-13 00:00:00,A,9202
611,1413,2025-02-27 00:00:00,A,9242
612,1415,2026-05-03 00:00:00,A,9192
613,1417,2025-05-30 00:00:00,A,9209
614,1423,2025-11-01 00:00:00,B,9315
615,1425,2025-03-31 00:00:00,B,9233
616,1427,2025-06-17 00:00:00,B,9166
617,1431,2025-12-21 00:00:00,A,9076
618,1432,2025-05-20 00:00:00,A,9002
619,1434,2026-03-30 00:00:00,A,9049
620,1435,2025-12-19 00:00:00,C,9324
621,1439,2025-12-16 00:00:00,A,9223
622,1440,2025-07-11 00:00:00,A,9143
623,1442,2026-01-29 00:00:00,A,9274
624,1445,2025-07-13 00:00:00,A,9389
625,1447,2025-04-29 00:00:00,A,9242
