LinkID,QueryCaseMasterID,CandidateCaseMasterID,OverallConfidence,NarrativeScore,SpatialScore,TemporalScore,SectionScore,OfficerDecision,ReviewedByOfficerID,Timestamp
26,1792,1084,0.64,1.0,0.7,0.3,0.0,Pending,,
27,1792,1275,0.64,1.0,0.7,0.3,0.0,Pending,,
28,1792,231,0.615,1.0,0.35,0.6,0.5,Pending,,
29,1792,506,0.615,1.0,0.35,0.6,0.5,Pending,,
30,1792,798,0.615,1.0,0.35,0.6,0.5,Pending,,
31,1792,200,0.61,1.0,0.7,0.0,0.0,Pending,,
32,1792,315,0.61,1.0,0.7,0.0,0.0,Pending,,
33,1792,362,0.61,1.0,0.7,0.0,0.0,Pending,,
34,1792,475,0.61,1.0,0.7,0.0,0.0,Pending,,
35,1792,677,0.61,1.0,0.7,0.0,0.0,Pending,,
36,1792,689,0.61,1.0,0.7,0.0,0.0,Pending,,
37,1792,694,0.61,1.0,0.7,0.0,0.0,Pending,,
38,1792,768,0.61,1.0,0.7,0.0,0.0,Pending,,
39,1792,867,0.61,1.0,0.7,0.0,0.0,Pending,,
40,1792,1038,0.61,1.0,1.0,0.6,0.0,Pending,,
41,1792,1118,0.61,1.0,0.7,0.0,0.0,Pending,,
42,1792,1157,0.61,1.0,1.0,0.6,0.0,Pending,,
43,1792,1257,0.61,1.0,0.7,0.0,0.0,Pending,,
44,1792,1450,0.61,1.0,0.7,0.0,0.0,Pending,,
45,1792,1748,0.61,1.0,0.7,0.0,0.0,Pending,,
46,1792,1820,0.61,1.0,0.7,0.0,0.0,Pending,,
47,1792,1904,0.61,1.0,0.7,0.0,0.0,Pending,,
48,1792,1944,0.61,1.0,1.0,0.6,0.0,Pending,,
49,1792,1978,0.61,1.0,1.0,0.6,0.0,Pending,,
50,1792,2359,0.61,1.0,0.7,0.0,0.0,Pending,,
51,803,2917,0.9,1.0,1.0,1.0,1.0,Pending,,
52,803,371,0.76,1.0,0.7,0.0,0.5,Pending,,
53,803,2120,0.76,1.0,1.0,0.6,0.0,Pending,,
54,803,886,0.75,1.0,1.0,0.0,0.5,Pending,,
55,803,2847,0.72,1.0,0.7,0.6,0.5,Pending,,
56,803,866,0.71,1.0,0.7,0.0,1.0,Pending,,
57,803,1132,0.71,1.0,0.7,0.0,1.0,Pending,,
58,803,2301,0.71,1.0,0.7,0.0,1.0,Pending,,
59,803,26,0.7,1.0,1.0,0.0,0.0,Pending,,
60,803,330,0.7,1.0,1.0,1.0,0.5,Pending,,
61,803,807,0.7,1.0,1.0,0.0,0.0,Pending,,
62,803,1279,0.7,1.0,1.0,0.0,0.0,Pending,,
63,803,1388,0.7,1.0,1.0,0.0,0.0,Pending,,
64,803,1729,0.7,1.0,1.0,0.0,0.0,Pending,,
65,803,2789,0.7,1.0,1.0,0.0,0.0,Pending,,
66,803,2884,0.7,1.0,1.0,0.0,0.0,Pending,,
67,803,2991,0.7,1.0,1.0,0.0,0.0,Pending,,
68,803,1139,0.697,0.188,1.0,1.0,1.0,Pending,,
69,803,287,0.67,1.0,0.7,0.6,0.0,Pending,,
70,803,2586,0.67,1.0,0.7,0.6,0.0,Pending,,
71,803,1734,0.66,1.0,0.7,0.0,0.5,Pending,,
72,803,2103,0.66,1.0,0.7,0.0,0.5,Pending,,
73,803,2167,0.66,1.0,0.7,0.0,0.5,Pending,,
74,803,2204,0.66,1.0,0.7,0.0,0.5,Pending,,
75,803,301,0.65,1.0,1.0,0.0,1.0,Pending,,
76,803,668,0.65,1.0,1.0,1.0,0.0,Pending,,
77,803,1923,0.65,1.0,1.0,0.0,1.0,Pending,,
78,803,2201,0.65,1.0,1.0,0.0,1.0,Pending,,
79,803,365,0.64,1.0,0.7,0.3,0.0,Pending,,
80,803,373,0.64,1.0,0.7,0.3,0.0,Pending,,
81,803,344,0.615,1.0,0.35,0.6,0.5,Pending,,
82,803,1706,0.615,1.0,0.35,0.6,0.5,Pending,,
83,803,2231,0.615,1.0,0.35,0.6,0.5,Pending,,
84,803,40,0.61,1.0,0.7,0.0,0.0,Pending,,
85,803,83,0.61,1.0,0.7,0.0,0.0,Pending,,
86,803,126,0.61,1.0,0.7,0.0,0.0,Pending,,
87,803,146,0.61,1.0,0.7,0.0,0.0,Pending,,
88,803,151,0.61,1.0,0.7,0.0,0.0,Pending,,
89,803,298,0.61,1.0,0.7,0.0,0.0,Pending,,
90,803,467,0.61,1.0,0.7,0.0,0.0,Pending,,
91,803,509,0.61,1.0,0.7,0.0,0.0,Pending,,
92,803,714,0.61,1.0,0.7,0.0,0.0,Pending,,
93,803,718,0.61,1.0,0.7,0.0,0.0,Pending,,
94,803,1159,0.61,1.0,0.7,0.0,0.0,Pending,,
95,803,1322,0.61,1.0,0.7,0.0,0.0,Pending,,
96,803,1386,0.61,1.0,0.7,0.0,0.0,Pending,,
97,803,1416,0.61,1.0,0.7,0.0,0.0,Pending,,
98,803,1503,0.61,1.0,0.7,0.0,0.0,Pending,,
99,803,1526,0.61,1.0,0.7,0.0,0.0,Pending,,
100,803,1582,0.61,1.0,0.7,0.0,0.0,Pending,,
101,356,742,0.74,1.0,0.7,0.3,1.0,Pending,,
102,356,2159,0.74,1.0,0.7,0.3,1.0,Pending,,
103,356,114,0.73,1.0,1.0,0.3,0.0,Pending,,
104,356,990,0.73,1.0,1.0,0.3,0.0,Pending,,
105,356,2043,0.73,1.0,1.0,0.3,0.0,Pending,,
106,356,2469,0.72,1.0,0.7,0.6,0.5,Pending,,
107,356,914,0.71,1.0,0.7,1.0,0.0,Pending,,
108,356,1899,0.71,1.0,0.7,1.0,0.0,Pending,,
109,356,109,0.7,1.0,1.0,0.0,0.0,Pending,,
110,356,969,0.7,1.0,1.0,0.0,0.0,Pending,,
111,356,1186,0.7,1.0,1.0,0.0,0.0,Pending,,
112,356,1217,0.7,1.0,1.0,0.0,0.0,Pending,,
113,356,1465,0.7,1.0,1.0,0.0,0.0,Pending,,
114,356,2313,0.7,1.0,1.0,0.0,0.0,Pending,,
115,356,2825,0.7,1.0,1.0,0.0,0.0,Pending,,
116,356,2835,0.69,1.0,0.7,0.3,0.5,Pending,,
117,356,703,0.673,1.0,0.7,0.3,0.333,Pending,,
118,356,1400,0.673,1.0,0.7,0.3,0.333,Pending,,
119,356,400,0.67,1.0,0.7,0.6,0.0,Pending,,
120,356,591,0.67,1.0,0.7,0.6,0.0,Pending,,
121,356,1077,0.67,1.0,0.7,0.6,0.0,Pending,,
122,356,1457,0.67,1.0,0.7,0.6,0.0,Pending,,
123,356,1478,0.67,1.0,0.7,0.6,0.0,Pending,,
124,356,1491,0.67,1.0,0.7,0.6,0.0,Pending,,
125,356,1738,0.67,1.0,0.7,0.6,0.0,Pending,,
126,356,1880,0.67,1.0,0.7,0.6,0.0,Pending,,
127,356,2025,0.67,1.0,0.7,0.6,0.0,Pending,,
128,356,1129,0.66,1.0,0.7,0.0,0.5,Pending,,
129,356,1825,0.65,1.0,1.0,0.0,1.0,Pending,,
130,356,2439,0.65,1.0,1.0,1.0,0.0,Pending,,
131,356,1548,0.643,1.0,0.7,0.0,0.333,Pending,,
132,356,357,0.64,1.0,0.7,0.3,0.0,Pending,,
133,356,414,0.64,1.0,0.7,0.3,0.0,Pending,,
134,356,523,0.64,1.0,0.7,0.3,0.0,Pending,,
135,356,709,0.64,1.0,0.7,0.3,0.0,Pending,,
136,356,833,0.64,1.0,0.7,0.3,0.0,Pending,,
137,356,1031,0.64,1.0,0.7,0.3,0.0,Pending,,
138,356,1249,0.64,1.0,0.7,0.3,0.0,Pending,,
139,356,1308,0.64,1.0,0.7,0.3,0.0,Pending,,
140,356,1363,0.64,1.0,0.7,0.3,0.0,Pending,,
141,356,1419,0.64,1.0,0.7,0.3,0.0,Pending,,
142,356,1887,0.64,1.0,0.7,0.3,0.0,Pending,,
143,356,2148,0.64,1.0,0.7,0.3,0.0,Pending,,
144,356,116,0.638,1.0,0.35,1.0,0.333,Pending,,
145,356,508,0.638,1.0,0.35,1.0,0.333,Pending,,
146,356,1921,0.638,1.0,0.35,1.0,0.333,Pending,,
147,356,2888,0.635,1.0,0.35,0.3,1.0,Pending,,
148,356,1216,0.63,1.0,1.0,0.3,0.5,Pending,,
149,356,2857,0.63,1.0,1.0,0.3,0.5,Pending,,
150,356,2171,0.62,1.0,0.7,0.6,0.0,Pending,,
151,1524,477,0.86,1.0,1.0,0.6,1.0,Pending,,
152,1524,220,0.78,1.0,1.0,0.3,0.5,Pending,,
153,1524,2538,0.75,1.0,1.0,0.0,0.5,Pending,,
154,1524,821,0.74,1.0,0.7,0.3,1.0,Pending,,
155,1524,876,0.733,1.0,1.0,0.0,0.333,Pending,,
156,1524,1549,0.73,1.0,1.0,0.3,0.0,Pending,,
157,1524,987,0.71,1.0,1.0,0.6,1.0,Pending,,
158,1524,1835,0.71,1.0,0.7,0.0,1.0,Pending,,
159,1524,1989,0.71,1.0,0.7,1.0,0.0,Pending,,
160,1524,2226,0.71,1.0,0.7,1.0,0.0,Pending,,
161,1524,2326,0.71,1.0,0.7,1.0,0.0,Pending,,
162,1524,1332,0.7,1.0,1.0,0.0,0.0,Pending,,
163,1524,1871,0.7,1.0,1.0,0.0,0.0,Pending,,
164,1524,2269,0.7,1.0,1.0,0.0,0.0,Pending,,
165,1524,2573,0.7,1.0,1.0,0.0,0.0,Pending,,
166,1524,1764,0.69,1.0,0.7,0.3,0.5,Pending,,
167,1524,2544,0.69,1.0,0.7,0.3,0.5,Pending,,
168,1524,140,0.673,1.0,0.7,0.3,0.333,Pending,,
169,1524,2123,0.673,1.0,0.7,0.3,0.333,Pending,,
170,1524,2335,0.673,1.0,0.7,0.3,0.333,Pending,,
171,1524,381,0.67,1.0,0.7,0.6,0.0,Pending,,
172,1524,847,0.67,1.0,0.7,0.6,0.0,Pending,,
173,1524,1262,0.67,1.0,0.7,0.6,0.0,Pending,,
174,1524,2851,0.67,1.0,0.7,0.6,0.0,Pending,,
175,1524,349,0.66,1.0,0.7,0.0,0.5,Pending,,
176,1524,958,0.66,1.0,0.7,0.0,0.5,Pending,,
177,1524,1959,0.655,1.0,0.35,0.0,0.5,Pending,,
178,1524,1183,0.65,1.0,1.0,0.0,1.0,Pending,,
179,1524,158,0.643,1.0,0.7,0.0,0.333,Pending,,
180,1524,1354,0.643,1.0,1.0,0.6,0.333,Pending,,
181,1524,1749,0.643,1.0,0.7,0.0,0.333,Pending,,
182,1524,91,0.64,1.0,0.7,0.3,0.0,Pending,,
183,1524,350,0.64,1.0,0.7,0.3,0.0,Pending,,
184,1524,1047,0.64,1.0,0.7,0.3,0.0,Pending,,
185,1524,1148,0.64,1.0,0.7,0.3,0.0,Pending,,
186,1524,1336,0.64,1.0,0.7,0.3,0.0,Pending,,
187,1524,1602,0.64,1.0,0.7,0.3,0.0,Pending,,
188,1524,1823,0.64,1.0,0.7,0.3,0.0,Pending,,
189,1524,1884,0.64,1.0,0.7,0.3,0.0,Pending,,
190,1524,2239,0.64,1.0,0.7,0.3,0.0,Pending,,
191,1524,2020,0.63,1.0,1.0,0.3,0.5,Pending,,
192,1524,1088,0.62,1.0,0.7,0.6,1.0,Pending,,
193,1524,2599,0.62,1.0,0.7,0.6,1.0,Pending,,
194,1524,1319,0.615,1.0,0.35,0.6,0.5,Pending,,
195,1524,1918,0.613,1.0,1.0,0.3,0.333,Pending,,
196,1524,82,0.61,1.0,0.7,0.0,0.0,Pending,,
197,1524,216,0.61,1.0,0.7,0.0,0.0,Pending,,
198,1524,279,0.61,1.0,0.7,0.0,0.0,Pending,,
199,1524,281,0.61,1.0,0.7,0.0,0.0,Pending,,
200,1524,293,0.61,1.0,0.7,0.0,0.0,Pending,,
201,1267,2086,0.86,1.0,0.7,1.0,0.5,Pending,,
202,1267,1875,0.85,1.0,1.0,1.0,0.5,Pending,,
203,1267,2246,0.8,1.0,1.0,0.0,1.0,Pending,,
204,1267,84,0.76,1.0,1.0,0.6,0.0,Pending,,
205,1267,2857,0.75,1.0,1.0,0.0,0.5,Pending,,
206,1267,76,0.74,1.0,0.7,0.3,1.0,Pending,,
207,1267,1811,0.73,1.0,1.0,0.3,0.0,Pending,,
208,1267,594,0.71,1.0,0.7,0.0,1.0,Pending,,
209,1267,985,0.71,1.0,0.7,1.0,0.0,Pending,,
210,1267,1298,0.71,1.0,0.7,1.0,0.0,Pending,,
211,1267,2595,0.71,1.0,0.7,1.0,0.0,Pending,,
212,1267,2957,0.71,1.0,0.7,0.0,1.0,Pending,,
213,1267,2989,0.71,1.0,0.7,0.0,0.0,Pending,,
214,1267,300,0.7,1.0,1.0,0.0,0.0,Pending,,
215,1267,650,0.7,1.0,1.0,0.0,0.0,Pending,,
216,1267,1140,0.7,1.0,1.0,0.0,0.0,Pending,,
217,1267,1268,0.7,1.0,1.0,0.0,0.0,Pending,,
218,1267,2504,0.7,1.0,1.0,0.0,0.0,Pending,,
219,1267,800,0.69,1.0,0.7,0.3,0.5,Pending,,
220,1267,2867,0.68,1.0,1.0,0.3,0.0,Pending,,
221,1267,313,0.67,1.0,0.7,0.6,0.0,Pending,,
222,1267,1130,0.67,1.0,0.7,0.6,0.0,Pending,,
223,1267,1570,0.67,1.0,0.7,0.6,0.0,Pending,,
224,1267,2532,0.67,1.0,0.7,0.6,0.0,Pending,,
225,1267,2230,0.665,1.0,0.35,0.6,0.0,Pending,,
226,1267,1004,0.66,1.0,0.7,0.0,0.5,Pending,,
227,1267,1216,0.66,1.0,1.0,0.6,0.5,Pending,,
228,1267,1643,0.66,1.0,0.7,0.0,0.5,Pending,,
229,1267,2356,0.66,1.0,0.7,0.0,0.5,Pending,,
230,1267,2711,0.66,1.0,0.7,0.0,0.5,Pending,,
231,1267,2909,0.66,1.0,0.7,0.0,0.5,Pending,,
232,1267,145,0.64,1.0,0.7,0.3,0.0,Pending,,
233,1267,636,0.64,1.0,0.7,0.3,0.0,Pending,,
234,1267,931,0.64,1.0,0.7,0.3,0.0,Pending,,
235,1267,1064,0.64,1.0,0.7,0.3,0.0,Pending,,
236,1267,1167,0.64,1.0,0.7,0.3,0.0,Pending,,
237,1267,1489,0.64,1.0,0.7,0.3,0.0,Pending,,
238,1267,1919,0.64,1.0,0.7,0.3,0.0,Pending,,
239,1267,1986,0.64,1.0,0.7,0.3,0.0,Pending,,
240,1267,2127,0.64,1.0,0.7,0.3,0.0,Pending,,
241,1267,2128,0.64,1.0,0.7,0.3,0.0,Pending,,
242,1267,2171,0.64,1.0,0.7,0.3,0.0,Pending,,
243,1267,2209,0.64,1.0,0.7,0.3,0.0,Pending,,
244,1267,2221,0.64,1.0,0.7,0.3,0.0,Pending,,
245,1267,2337,0.64,1.0,0.7,0.3,0.0,Pending,,
246,1267,2368,0.64,1.0,0.7,0.3,0.0,Pending,,
247,1267,2694,0.64,1.0,0.7,0.3,0.0,Pending,,
248,1267,2831,0.64,1.0,0.7,0.3,0.0,Pending,,
249,1267,2846,0.64,1.0,0.7,0.3,0.0,Pending,,
250,1267,109,0.63,1.0,1.0,0.3,0.5,Pending,,
251,1294,998,0.74,1.0,0.7,0.3,1.0,Pending,,
252,1294,2211,0.74,1.0,0.7,0.3,1.0,Pending,,
253,1294,1309,0.73,1.0,1.0,0.3,0.0,Pending,,
254,1294,1517,0.71,1.0,0.7,1.0,0.0,Pending,,
255,1294,1728,0.71,1.0,0.7,0.0,0.0,Pending,,
256,1294,913,0.7,1.0,1.0,0.0,0.0,Pending,,
257,1294,1094,0.7,1.0,1.0,0.0,0.0,Pending,,
258,1294,2116,0.7,1.0,1.0,0.0,0.0,Pending,,
259,1294,2712,0.7,1.0,1.0,0.0,0.0,Pending,,
260,1294,2903,0.7,1.0,1.0,0.0,0.0,Pending,,
261,1294,830,0.69,1.0,0.7,0.3,0.5,Pending,,
262,1294,515,0.67,1.0,0.7,0.6,0.0,Pending,,
263,1294,794,0.67,1.0,0.7,0.6,0.0,Pending,,
264,1294,1832,0.67,1.0,0.7,0.6,0.0,Pending,,
265,1294,1910,0.67,1.0,0.7,0.6,0.0,Pending,,
266,1294,2029,0.67,1.0,0.7,0.6,0.0,Pending,,
267,1294,2362,0.67,1.0,0.7,0.6,0.0,Pending,,
268,1294,65,0.66,1.0,0.7,0.0,0.5,Pending,,
269,1294,462,0.66,1.0,0.7,0.0,0.5,Pending,,
270,1294,1127,0.655,1.0,0.35,1.0,0.5,Pending,,
271,1294,701,0.64,1.0,0.7,0.3,0.0,Pending,,
272,1294,1133,0.64,1.0,0.7,0.3,0.0,Pending,,
273,1294,1137,0.64,1.0,0.7,0.3,0.0,Pending,,
274,1294,1671,0.64,1.0,0.7,0.3,0.0,Pending,,
275,1294,1929,0.64,1.0,0.7,0.3,0.0,Pending,,
276,1294,2982,0.64,1.0,0.7,0.3,0.0,Pending,,
277,1294,1629,0.63,1.0,1.0,0.3,0.5,Pending,,
278,1294,553,0.62,1.0,0.7,0.6,1.0,Pending,,
279,1294,2260,0.615,1.0,0.35,0.6,0.5,Pending,,
280,1294,213,0.61,1.0,0.7,0.0,0.0,Pending,,
281,1294,294,0.61,1.0,0.7,0.0,0.0,Pending,,
282,1294,655,0.61,1.0,1.0,0.6,0.0,Pending,,
283,1294,710,0.61,1.0,0.7,0.0,0.0,Pending,,
284,1294,711,0.61,1.0,0.7,0.0,0.0,Pending,,
285,1294,721,0.61,1.0,1.0,0.6,0.0,Pending,,
286,1294,769,0.61,1.0,0.7,0.0,0.0,Pending,,
287,1294,780,0.61,1.0,0.7,0.0,0.0,Pending,,
288,1294,822,0.61,1.0,0.7,1.0,0.5,Pending,,
289,1294,852,0.61,1.0,0.7,0.0,0.0,Pending,,
290,1294,997,0.61,1.0,1.0,0.6,0.0,Pending,,
291,1294,1126,0.61,1.0,0.7,0.0,0.0,Pending,,
292,1294,1235,0.61,1.0,0.7,0.0,0.0,Pending,,
293,1294,1337,0.61,1.0,0.7,0.0,0.0,Pending,,
294,1294,1576,0.61,1.0,0.7,0.0,0.0,Pending,,
295,1294,1659,0.61,1.0,1.0,0.6,0.0,Pending,,
296,1294,1665,0.61,1.0,0.7,0.0,0.0,Pending,,
297,1294,1776,0.61,1.0,1.0,0.6,0.0,Pending,,
298,1294,2062,0.61,1.0,0.7,0.0,0.0,Pending,,
299,1294,2146,0.61,1.0,1.0,0.6,0.0,Pending,,
300,1294,2180,0.61,1.0,0.7,0.0,0.0,Pending,,
301,1884,2851,0.83,1.0,1.0,0.3,1.0,Pending,,
302,1884,2544,0.81,1.0,1.0,0.6,0.5,Pending,,
303,1884,847,0.78,1.0,1.0,0.3,0.5,Pending,,
304,1884,82,0.74,1.0,0.7,0.3,1.0,Pending,,
305,1884,2748,0.74,1.0,0.7,0.3,0.0,Pending,,
306,1884,1359,0.73,1.0,1.0,0.3,0.0,Pending,,
307,1884,1336,0.71,1.0,0.7,1.0,0.0,Pending,,
308,1884,1534,0.71,1.0,0.7,0.0,0.0,Pending,,
309,1884,1549,0.71,1.0,0.7,1.0,0.0,Pending,,
310,1884,1871,0.71,1.0,0.7,0.0,0.0,Pending,,
311,1884,91,0.7,1.0,1.0,0.0,0.0,Pending,,
312,1884,158,0.7,1.0,1.0,0.0,0.0,Pending,,
313,1884,216,0.7,1.0,1.0,0.0,0.0,Pending,,
314,1884,281,0.7,1.0,1.0,0.0,0.0,Pending,,
315,1884,2566,0.7,1.0,1.0,0.0,0.0,Pending,,
316,1884,276,0.68,1.0,1.0,0.3,0.0,Pending,,
317,1884,220,0.67,1.0,0.7,0.6,0.0,Pending,,
318,1884,1764,0.67,1.0,0.7,0.6,0.0,Pending,,
319,1884,1148,0.66,1.0,0.7,0.0,0.5,Pending,,
320,1884,2123,0.66,1.0,0.7,0.0,0.5,Pending,,
321,1884,66,0.65,1.0,1.0,1.0,0.0,Pending,,
322,1884,554,0.65,1.0,1.0,1.0,0.0,Pending,,
323,1884,345,0.64,1.0,0.7,0.3,0.0,Pending,,
324,1884,381,0.64,1.0,0.7,0.3,0.0,Pending,,
325,1884,469,0.64,1.0,0.7,0.3,0.0,Pending,,
326,1884,477,0.64,1.0,0.7,0.3,0.0,Pending,,
327,1884,628,0.64,1.0,0.7,0.3,0.0,Pending,,
328,1884,755,0.64,1.0,0.7,0.3,0.0,Pending,,
329,1884,1262,0.64,1.0,0.7,0.3,0.0,Pending,,
330,1884,1524,0.64,1.0,0.7,0.3,0.0,Pending,,
331,1884,1638,0.64,1.0,0.7,0.3,0.0,Pending,,
332,1884,1989,0.64,1.0,0.7,0.3,0.0,Pending,,
333,1884,2252,0.64,1.0,0.7,0.3,0.0,Pending,,
334,1884,2326,0.64,1.0,0.7,0.3,0.0,Pending,,
335,1884,2538,0.64,1.0,0.7,0.3,0.0,Pending,,
336,1884,2573,0.64,1.0,0.7,0.3,0.0,Pending,,
337,1884,2702,0.64,1.0,0.7,0.3,0.0,Pending,,
338,1884,906,0.62,1.0,0.7,0.6,0.0,Pending,,
339,1884,2887,0.62,1.0,0.7,0.6,0.0,Pending,,
340,1884,33,0.61,1.0,0.7,0.0,0.0,Pending,,
341,1884,140,0.61,1.0,0.7,0.0,0.0,Pending,,
342,1884,181,0.61,1.0,0.7,0.0,0.0,Pending,,
343,1884,198,0.61,1.0,1.0,0.6,0.0,Pending,,
344,1884,244,0.61,1.0,0.7,0.0,0.0,Pending,,
345,1884,279,0.61,1.0,0.7,0.0,0.0,Pending,,
346,1884,349,0.61,1.0,0.7,0.0,0.0,Pending,,
347,1884,350,0.61,1.0,0.7,0.0,0.0,Pending,,
348,1884,491,0.61,1.0,0.7,0.0,0.0,Pending,,
349,1884,503,0.61,1.0,0.7,0.0,0.0,Pending,,
350,1884,676,0.61,1.0,0.7,0.0,0.0,Pending,,
351,717,523,0.91,1.0,0.7,1.0,1.0,Pending,,
352,717,1807,0.77,1.0,0.7,0.6,1.0,Pending,,
353,717,80,0.73,1.0,1.0,0.3,0.0,Pending,,
354,717,974,0.73,1.0,1.0,0.3,0.0,Pending,,
355,717,2302,0.73,1.0,1.0,0.3,0.0,Pending,,
356,717,5,0.71,1.0,0.7,1.0,0.0,Pending,,
357,717,225,0.71,1.0,0.7,0.0,0.0,Pending,,
358,717,661,0.71,1.0,0.7,0.0,1.0,Pending,,
359,717,823,0.71,1.0,0.7,0.0,1.0,Pending,,
360,717,1363,0.71,1.0,0.7,1.0,0.0,Pending,,
361,717,1378,0.71,1.0,0.7,0.0,1.0,Pending,,
362,717,1876,0.71,1.0,0.7,0.0,1.0,Pending,,
363,717,9,0.7,1.0,1.0,0.0,0.0,Pending,,
364,717,862,0.7,1.0,1.0,0.0,0.0,Pending,,
365,717,1236,0.7,1.0,1.0,0.0,0.0,Pending,,
366,717,2268,0.7,1.0,1.0,0.0,0.0,Pending,,
367,717,370,0.68,1.0,1.0,0.3,1.0,Pending,,
368,717,1640,0.68,1.0,1.0,0.3,1.0,Pending,,
369,717,12,0.67,1.0,0.7,0.6,0.0,Pending,,
370,717,519,0.67,1.0,0.7,0.6,0.0,Pending,,
371,717,1308,0.67,1.0,0.7,0.6,0.0,Pending,,
372,717,1400,0.67,1.0,0.7,0.6,0.0,Pending,,
373,717,2764,0.67,1.0,0.7,0.6,0.0,Pending,,
374,717,2821,0.67,1.0,0.7,0.6,0.0,Pending,,
375,717,2888,0.67,1.0,0.7,0.6,0.0,Pending,,
376,717,1737,0.66,1.0,0.7,1.0,1.0,Pending,,
377,717,1977,0.66,1.0,0.7,1.0,1.0,Pending,,
378,717,272,0.65,1.0,1.0,0.0,1.0,Pending,,
379,717,1753,0.65,1.0,1.0,1.0,0.0,Pending,,
380,717,1826,0.65,1.0,1.0,0.0,1.0,Pending,,
381,717,2137,0.65,1.0,1.0,0.0,1.0,Pending,,
382,717,2471,0.65,1.0,1.0,1.0,0.0,Pending,,
383,717,355,0.64,1.0,0.7,0.3,0.0,Pending,,
384,717,591,0.64,1.0,0.7,0.3,0.0,Pending,,
385,717,609,0.64,1.0,0.7,0.3,0.0,Pending,,
386,717,678,0.64,1.0,0.7,0.3,0.0,Pending,,
387,717,742,0.64,1.0,0.7,0.3,0.0,Pending,,
388,717,914,0.64,1.0,0.7,0.3,0.0,Pending,,
389,717,1457,0.64,1.0,0.7,0.3,0.0,Pending,,
390,717,1491,0.64,1.0,0.7,0.3,0.0,Pending,,
391,717,1548,0.64,1.0,0.7,0.3,0.0,Pending,,
392,717,1581,0.64,1.0,0.7,0.3,0.0,Pending,,
393,717,1590,0.64,1.0,0.7,0.3,0.0,Pending,,
394,717,1774,0.64,1.0,0.7,0.3,0.0,Pending,,
395,717,1880,0.64,1.0,0.7,0.3,0.0,Pending,,
396,717,1899,0.64,1.0,0.7,0.3,0.0,Pending,,
397,717,1908,0.64,1.0,0.7,0.3,0.0,Pending,,
398,717,1921,0.64,1.0,0.7,0.3,0.0,Pending,,
399,717,2133,0.64,1.0,0.7,0.3,0.0,Pending,,
400,717,2159,0.64,1.0,0.7,0.3,0.0,Pending,,
