MatchID,AccusedMasterID_A,AccusedMasterID_B,MatchConfidence,PhoneticScore,AgeDelta,SharedCaseContext,OfficerDecision,ReviewedByOfficerID,Timestamp
163,4966,5069,1.0,,,,Possible,,
164,4965,5023,1.0,,,,Possible,,
165,4965,5145,1.0,,,,Possible,,
166,4965,5291,1.0,,,,Possible,,
167,4964,5232,1.0,,,,Possible,,
168,4961,5000,1.0,,,,Possible,,
169,4961,5205,1.0,,,,Possible,,
170,4960,5180,1.0,,,,Possible,,
171,4959,5038,1.0,,,,Possible,,
172,4958,4985,1.0,,,,Possible,,
173,4956,5243,1.0,,,,Possible,,
174,4956,5316,1.0,,,,Possible,,
175,4952,5269,1.0,,,,Possible,,
176,4951,5314,1.0,,,,Possible,,
177,4950,5057,1.0,,,,Possible,,
178,4950,5071,1.0,,,,Possible,,
179,4950,5242,1.0,,,,Possible,,
180,4948,5166,1.0,,,,Possible,,
181,4945,5188,1.0,,,,Possible,,
182,4945,5268,1.0,,,,Possible,,
183,4945,5287,1.0,,,,Possible,,
184,4943,5046,1.0,,,,Possible,,
185,4943,5076,1.0,,,,Possible,,
186,4943,5084,1.0,,,,Possible,,
187,4942,4946,1.0,,,,Possible,,
188,4936,4996,1.0,,,,Possible,,
189,4934,5262,1.0,,,,Possible,,
190,4933,5115,1.0,,,,Possible,,
191,4933,5139,1.0,,,,Possible,,
192,4932,4979,1.0,,,,Possible,,
193,4932,5021,1.0,,,,Possible,,
194,4931,4980,1.0,,,,Possible,,
195,4929,5267,1.0,,,,Possible,,
196,4928,5177,1.0,,,,Possible,,
197,4927,5055,1.0,,,,Possible,,
198,4927,5185,1.0,,,,Possible,,
199,4926,5225,1.0,,,,Possible,,
200,4926,5253,1.0,,,,Possible,,
